N,time
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000001
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000001
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000001
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000001
1,0.000000
1,0.000000
1,0.000001
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000001
1,0.000001
1,0.000000
1,0.000000
1,0.000001
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000001
1,0.000000
1,0.000000
1,0.000001
1,0.000000
1,0.000000
1,0.000001
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000001
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000001
1,0.000000
1,0.000001
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
1,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000001
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000001
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000001
2,0.000000
2,0.000000
2,0.000000
2,0.000001
2,0.000000
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000000
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000000
4,0.000000
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000000
4,0.000000
4,0.000000
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000000
4,0.000000
4,0.000000
4,0.000001
4,0.000000
4,0.000000
4,0.000001
4,0.000000
4,0.000000
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000000
4,0.000001
4,0.000000
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000000
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000000
4,0.000001
4,0.000001
4,0.000001
4,0.000001
4,0.000000
4,0.000001
4,0.000000
8,0.000005
8,0.000005
8,0.000004
8,0.000004
8,0.000004
8,0.000005
8,0.000005
8,0.000004
8,0.000004
8,0.000004
8,0.000004
8,0.000004
8,0.000006
8,0.000004
8,0.000004
8,0.000004
8,0.000005
8,0.000004
8,0.000004
8,0.000004
8,0.000004
8,0.000005
8,0.000004
8,0.000005
8,0.000005
8,0.000005
8,0.000004
8,0.000004
8,0.000004
8,0.000004
